Model,Conf bin,Count
yolov8n,0.25-0.30,799
yolov8n,0.30-0.40,2235
yolov8n,0.40-0.50,3710
yolov8n,0.50-0.60,5581
yolov8n,0.60-0.70,3116
yolov8n,0.70-0.80,85
yolov8n,0.80-0.90,0
yolov8n,0.90-1.00,0
yolov8s,0.25-0.30,673
yolov8s,0.30-0.40,1474
yolov8s,0.40-0.50,2254
yolov8s,0.50-0.60,4651
yolov8s,0.60-0.70,6660
yolov8s,0.70-0.80,1382
yolov8s,0.80-0.90,0
yolov8s,0.90-1.00,0
yolov8m,0.25-0.30,535
yolov8m,0.30-0.40,1121
yolov8m,0.40-0.50,1792
yolov8m,0.50-0.60,4343
yolov8m,0.60-0.70,7831
yolov8m,0.70-0.80,1069
yolov8m,0.80-0.90,0
yolov8m,0.90-1.00,0
