epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2832,1.08634,1.10884,0.89222,0.76096,0.57139,0.64018,0.38206,0.99988,0.94855,0.88704,0.00330065,0.00330065,0.0702941
2,94.3499,1.03917,0.71842,0.88444,0.56549,0.32498,0.33978,0.2038,1.14873,1.89105,0.94699,0.00637128,0.00637128,0.0400314
3,129.49,1.10178,0.74418,0.88999,0.74638,0.68923,0.75156,0.46592,0.94425,0.67564,0.87182,0.00917791,0.00917791,0.00950471
4,164.153,1.02891,0.67079,0.87762,0.72743,0.73153,0.76484,0.45014,1.06939,0.63863,0.89023,0.008812,0.008812,0.008812
5,195.108,1.08857,0.63077,0.88192,0.7868,0.67488,0.74209,0.45057,1.06313,0.67197,0.89023,0.008416,0.008416,0.008416
6,229.982,0.9762,0.58222,0.8643,0.86271,0.7224,0.77229,0.51487,0.87064,0.54121,0.85455,0.00802,0.00802,0.00802
7,265.08,0.90533,0.52806,0.85483,0.89035,0.74631,0.80562,0.54511,0.78796,0.51833,0.84584,0.007624,0.007624,0.007624
8,299.731,0.86693,0.50189,0.84232,0.87759,0.72733,0.78623,0.50825,0.84507,0.55203,0.86727,0.007228,0.007228,0.007228
9,336.272,0.83341,0.47105,0.84302,0.85951,0.74173,0.80656,0.55602,0.74721,0.46512,0.84112,0.006832,0.006832,0.006832
10,371.758,0.82272,0.47528,0.8368,0.89924,0.79392,0.83058,0.59166,0.72707,0.43695,0.83232,0.006436,0.006436,0.006436
11,406.731,0.83234,0.47891,0.83656,0.91294,0.7871,0.82798,0.58949,0.70657,0.42614,0.83213,0.00604,0.00604,0.00604
12,443.554,0.81703,0.46791,0.84086,0.90864,0.78258,0.81585,0.56568,0.73206,0.45001,0.83486,0.005644,0.005644,0.005644
13,479.962,0.81711,0.47188,0.83419,0.82304,0.78034,0.80157,0.5501,0.79021,0.50555,0.84116,0.005248,0.005248,0.005248
14,515.211,0.7959,0.45545,0.82956,0.91237,0.83452,0.84003,0.60267,0.69823,0.41854,0.82892,0.004852,0.004852,0.004852
15,549.918,0.75681,0.42774,0.82457,0.93212,0.79992,0.84,0.6083,0.70807,0.40903,0.82664,0.004456,0.004456,0.004456
16,638.699,0.7328,0.41512,0.83236,0.90592,0.78946,0.82724,0.59577,0.70172,0.4144,0.82433,0.00406,0.00406,0.00406
17,671.689,0.75297,0.42136,0.83081,0.95145,0.80611,0.85447,0.62472,0.71305,0.41295,0.82862,0.003664,0.003664,0.003664
18,704.807,0.73525,0.41976,0.82551,0.87898,0.79349,0.82069,0.58196,0.72611,0.43935,0.82848,0.003268,0.003268,0.003268
19,737.707,0.72208,0.40617,0.82557,0.93615,0.81443,0.84215,0.61296,0.70043,0.41046,0.82538,0.002872,0.002872,0.002872
20,770.781,0.71432,0.39688,0.822,0.91212,0.82741,0.84884,0.62305,0.66724,0.40632,0.82051,0.002476,0.002476,0.002476
21,803.826,0.68955,0.37717,0.81871,0.94748,0.82628,0.85244,0.64569,0.65824,0.39227,0.81994,0.00208,0.00208,0.00208
22,836.841,0.67466,0.37406,0.81503,0.91634,0.80525,0.83104,0.60967,0.65729,0.3981,0.82158,0.001684,0.001684,0.001684
23,869.785,0.66935,0.36732,0.81545,0.92888,0.82345,0.85024,0.62372,0.65976,0.38144,0.81673,0.001288,0.001288,0.001288
24,902.892,0.66227,0.3597,0.81306,0.95143,0.82421,0.84778,0.62668,0.66362,0.38366,0.81912,0.000892,0.000892,0.000892
25,935.887,0.65307,0.35106,0.81185,0.94007,0.82527,0.84859,0.63648,0.63687,0.36189,0.81797,0.000496,0.000496,0.000496
