epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.39,2.23423,1.37436,1.10328,0.89622,0.40212,0.40092,0.13382,2.40578,1.46195,1.00249,0.00330623,0.00330623,0.0702439
2,196.948,2.1282,1.07979,1.03681,0.48868,0.48925,0.41713,0.12154,2.52621,1.06447,1.02242,0.0065081,0.0065081,0.0401124
3,251.186,2.17104,1.10466,1.04582,0.44647,0.45247,0.38359,0.10569,2.51698,1.05865,1.03721,0.00957797,0.00957797,0.00984898
4,305.629,2.1336,1.14794,1.0438,0.49493,0.51718,0.44337,0.12526,2.53982,1.12109,1.01419,0.009406,0.009406,0.009406
5,360.556,2.14587,0.98484,1.04388,0.40343,0.46338,0.38208,0.10192,2.61891,1.03868,1.00735,0.009208,0.009208,0.009208
6,417.148,2.06902,0.93645,1.0304,0.4708,0.45003,0.42626,0.13538,2.27387,1.09315,0.97596,0.00901,0.00901,0.00901
7,470.977,2.03963,0.91411,1.01513,0.44638,0.44558,0.45933,0.16889,2.11854,0.91333,0.96622,0.008812,0.008812,0.008812
8,524.911,1.98961,0.89247,1.00102,0.61363,0.53853,0.53175,0.20172,2.00683,0.89574,0.94553,0.008614,0.008614,0.008614
9,579.826,1.98933,0.86985,0.99729,0.63205,0.49335,0.49325,0.16787,2.13486,0.92862,0.96163,0.008416,0.008416,0.008416
10,634.169,1.98554,0.85953,0.99928,0.64143,0.53122,0.53547,0.17908,2.26907,0.94711,0.97036,0.008218,0.008218,0.008218
11,688.586,1.96337,0.84697,0.99721,0.56218,0.55424,0.52331,0.17395,2.23592,0.88833,0.95511,0.00802,0.00802,0.00802
12,743.142,1.94867,0.83126,0.98771,0.49982,0.44459,0.45892,0.18012,1.95419,0.89386,0.94748,0.007822,0.007822,0.007822
13,797.675,1.91984,0.82136,0.98053,0.50399,0.50105,0.48998,0.18494,2.07703,0.87147,0.94667,0.007624,0.007624,0.007624
14,851.817,1.90982,0.81434,0.98592,0.70726,0.49441,0.50739,0.17859,2.06859,0.89642,0.9521,0.007426,0.007426,0.007426
15,906.012,1.89583,0.80165,0.98119,0.67239,0.57235,0.57075,0.18687,2.20174,0.87325,0.94923,0.007228,0.007228,0.007228
16,960.384,1.89062,0.80142,0.98142,0.62665,0.51562,0.50263,0.18477,2.03497,0.86723,0.9378,0.00703,0.00703,0.00703
17,1014.92,1.8785,0.78836,0.96813,0.61032,0.59122,0.53422,0.17997,2.17791,0.85119,0.94673,0.006832,0.006832,0.006832
18,1069.45,1.87436,0.77939,0.96746,0.58389,0.58719,0.54831,0.19996,2.00728,0.8311,0.93285,0.006634,0.006634,0.006634
19,1123.94,1.86318,0.77532,0.96448,0.59669,0.56302,0.5215,0.20185,1.96523,0.82253,0.9225,0.006436,0.006436,0.006436
20,1178.46,1.82214,0.75596,0.96429,0.63067,0.61645,0.56833,0.18774,2.15443,0.8315,0.93924,0.006238,0.006238,0.006238
21,1232.61,1.81246,0.75159,0.95841,0.60566,0.59687,0.56937,0.20174,2.05982,0.82273,0.93515,0.00604,0.00604,0.00604
22,1286.5,1.8025,0.74569,0.9576,0.65264,0.53236,0.55058,0.20912,1.95183,0.82849,0.93372,0.005842,0.005842,0.005842
23,1341.57,1.81055,0.74578,0.9585,0.62024,0.55821,0.54743,0.20343,1.9814,0.81436,0.93519,0.005644,0.005644,0.005644
24,1396.59,1.79984,0.73503,0.95257,0.71691,0.54416,0.56157,0.20889,1.96997,0.79571,0.92782,0.005446,0.005446,0.005446
25,1451.61,1.78503,0.72861,0.95358,0.64189,0.63927,0.58055,0.20795,2.04547,0.79003,0.93269,0.005248,0.005248,0.005248
26,1506.4,1.75798,0.72128,0.94739,0.67776,0.63499,0.59986,0.21099,2.08727,0.79988,0.92969,0.00505,0.00505,0.00505
27,1560.99,1.76925,0.72419,0.94579,0.61496,0.62288,0.56403,0.19595,2.09788,0.78671,0.9275,0.004852,0.004852,0.004852
28,1615.45,1.74911,0.71357,0.95008,0.65639,0.57221,0.56798,0.20854,1.97273,0.78387,0.92769,0.004654,0.004654,0.004654
29,1669.76,1.73949,0.70651,0.94481,0.66925,0.56472,0.55396,0.20947,1.94889,0.78455,0.92657,0.004456,0.004456,0.004456
30,1724.24,1.74001,0.70379,0.94416,0.57664,0.62139,0.58507,0.21659,1.97715,0.77575,0.9247,0.004258,0.004258,0.004258
31,1778.85,1.73252,0.70168,0.94065,0.62805,0.56161,0.55879,0.20113,2.03302,0.80394,0.93005,0.00406,0.00406,0.00406
32,1833.15,1.72053,0.69569,0.93428,0.76035,0.59687,0.60413,0.21341,1.98789,0.76603,0.92227,0.003862,0.003862,0.003862
33,1887.63,1.70612,0.68844,0.93211,0.67617,0.532,0.5531,0.19678,2.06881,0.78426,0.93271,0.003664,0.003664,0.003664
34,1942.13,1.70683,0.68697,0.92734,0.73247,0.585,0.58418,0.20158,2.1465,0.79212,0.94043,0.003466,0.003466,0.003466
35,1996.66,1.67732,0.67923,0.93058,0.59744,0.60394,0.56871,0.2169,1.9654,0.75048,0.92455,0.003268,0.003268,0.003268
36,2051.23,1.66286,0.66895,0.92579,0.65421,0.65778,0.57192,0.20831,2.01419,0.76818,0.92128,0.00307,0.00307,0.00307
37,2105.78,1.66938,0.67291,0.92151,0.6408,0.6257,0.56413,0.20889,2.03284,0.76967,0.92869,0.002872,0.002872,0.002872
38,2160.21,1.64706,0.66372,0.92873,0.62795,0.63814,0.58323,0.22417,1.94532,0.74966,0.91982,0.002674,0.002674,0.002674
39,2214.79,1.63631,0.65705,0.92684,0.59861,0.62033,0.57428,0.21953,1.95873,0.74481,0.92096,0.002476,0.002476,0.002476
40,2269.29,1.64315,0.65865,0.92195,0.65591,0.57327,0.55317,0.22711,1.88194,0.73638,0.91698,0.002278,0.002278,0.002278
41,2519.36,1.59276,0.63664,0.94181,0.68248,0.61221,0.57664,0.20774,2.03881,0.7607,0.92406,0.00208,0.00208,0.00208
42,2573.77,1.56771,0.62834,0.93745,0.62734,0.62394,0.57841,0.2164,1.9883,0.74522,0.92025,0.001882,0.001882,0.001882
43,2644.25,1.56427,0.62491,0.9309,0.716,0.6204,0.59376,0.21506,2.00892,0.75103,0.92692,0.001684,0.001684,0.001684
44,2697.8,1.54958,0.6183,0.93061,0.66881,0.62535,0.59447,0.21917,1.98452,0.74216,0.92829,0.001486,0.001486,0.001486
45,2751.16,1.53294,0.61393,0.93156,0.69823,0.63213,0.61665,0.22319,1.99565,0.73649,0.9215,0.001288,0.001288,0.001288
46,2806.11,1.51644,0.60543,0.92677,0.68746,0.59793,0.57728,0.21429,2.0318,0.74946,0.92964,0.00109,0.00109,0.00109
47,2860.83,1.5023,0.60256,0.92755,0.65795,0.60041,0.5648,0.21969,1.94648,0.74127,0.91853,0.000892,0.000892,0.000892
48,2915.51,1.49649,0.60128,0.92056,0.68301,0.58083,0.55552,0.21427,1.98156,0.73176,0.92165,0.000694,0.000694,0.000694
49,2970.02,1.48479,0.59213,0.91683,0.68438,0.61185,0.58658,0.20982,2.02893,0.7413,0.92396,0.000496,0.000496,0.000496
50,3024.7,1.4827,0.59251,0.91367,0.66485,0.6086,0.56362,0.21452,2.00474,0.73835,0.92415,0.000298,0.000298,0.000298
