epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1181,2.36465,1.84325,1.15298,0.84798,0.34841,0.32369,0.09899,2.43538,1.70524,1.04325,0.00330623,0.00330623,0.0702439
2,37.4868,2.3059,1.28234,1.11434,0.85843,0.35336,0.36039,0.10266,2.4867,1.33611,1.04484,0.0065081,0.0065081,0.0401124
3,51.5999,2.31291,1.25545,1.09889,0.4681,0.43159,0.39228,0.12773,2.26524,1.59383,1.00571,0.00957797,0.00957797,0.00984898
4,65.5891,2.28414,1.20556,1.09754,0.3894,0.40523,0.3385,0.09318,2.52639,1.26671,1.04171,0.009406,0.009406,0.009406
5,79.3682,2.224,1.16858,1.07255,0.57097,0.47144,0.41781,0.11491,2.55375,1.2029,1.03633,0.009208,0.009208,0.009208
6,93.1263,2.19868,1.11543,1.06544,0.51744,0.4212,0.37019,0.10551,2.52279,1.22055,1.03074,0.00901,0.00901,0.00901
7,106.932,2.16131,1.07405,1.04434,0.45006,0.39767,0.35155,0.10015,2.53441,1.16739,1.01109,0.008812,0.008812,0.008812
8,120.71,2.13688,1.0576,1.03811,0.53833,0.4696,0.38813,0.09678,2.7064,1.22831,1.04164,0.008614,0.008614,0.008614
9,134.481,2.09985,1.03906,1.04045,0.59729,0.45907,0.43588,0.13543,2.26134,1.15969,0.99049,0.008416,0.008416,0.008416
10,148.205,2.08694,1.01954,1.03376,0.43676,0.46576,0.41838,0.14705,2.12669,1.05615,0.97076,0.008218,0.008218,0.008218
11,161.969,2.06691,1.00472,1.03587,0.61696,0.49631,0.42273,0.11495,2.62266,1.1772,1.01882,0.00802,0.00802,0.00802
12,175.714,2.05971,0.99051,1.02977,0.50193,0.46989,0.45096,0.15523,2.15273,1.0409,0.97608,0.007822,0.007822,0.007822
13,189.473,2.03641,0.97494,1.02249,0.53063,0.49526,0.43325,0.14314,2.27657,1.06568,0.99003,0.007624,0.007624,0.007624
14,203.231,2.03215,0.96441,1.01984,0.482,0.46017,0.43998,0.14886,2.08146,1.08401,0.96874,0.007426,0.007426,0.007426
15,216.943,2.02288,0.9558,1.01313,0.58318,0.49893,0.44593,0.14122,2.26665,1.02776,0.97215,0.007228,0.007228,0.007228
16,231.261,1.99525,0.93635,1.0094,0.61886,0.47037,0.45294,0.16106,2.15593,0.97317,0.96681,0.00703,0.00703,0.00703
17,245.139,1.99834,0.93995,1.01156,0.50366,0.46812,0.45143,0.17151,2.05333,0.93396,0.96177,0.006832,0.006832,0.006832
18,259.019,2.00366,0.92686,1.00022,0.61999,0.52436,0.43826,0.11603,2.65021,1.1418,1.01838,0.006634,0.006634,0.006634
19,272.857,1.98742,0.92708,1.00675,0.50451,0.5281,0.47585,0.17936,1.98849,0.98944,0.96665,0.006436,0.006436,0.006436
20,286.662,1.9891,0.92269,0.9984,0.59502,0.53221,0.4961,0.17752,2.09785,0.94977,0.95547,0.006238,0.006238,0.006238
21,300.591,1.98044,0.91413,0.99331,0.53136,0.52949,0.4778,0.177,2.05325,0.96752,0.95244,0.00604,0.00604,0.00604
22,314.527,1.96803,0.90932,0.99918,0.60925,0.5337,0.49678,0.16519,2.21353,0.97764,0.96812,0.005842,0.005842,0.005842
23,328.465,1.96885,0.90207,0.99364,0.56217,0.51144,0.48678,0.18717,1.98502,0.9417,0.94714,0.005644,0.005644,0.005644
24,342.33,1.95849,0.89654,0.99188,0.52847,0.50552,0.48488,0.18372,1.98432,0.96491,0.95054,0.005446,0.005446,0.005446
25,356.222,1.95855,0.89178,0.98223,0.50857,0.50572,0.46518,0.17969,2.02391,0.94312,0.94929,0.005248,0.005248,0.005248
26,370.069,1.94564,0.88467,0.99325,0.63102,0.51483,0.48091,0.16598,2.16895,0.94657,0.95184,0.00505,0.00505,0.00505
27,383.947,1.92937,0.8766,0.98685,0.58242,0.56274,0.5154,0.18849,2.06075,0.93332,0.94424,0.004852,0.004852,0.004852
28,397.821,1.91946,0.86974,0.98526,0.55557,0.52041,0.4742,0.16526,2.1226,0.97221,0.95393,0.004654,0.004654,0.004654
29,411.667,1.92581,0.87303,0.98813,0.49376,0.53561,0.47499,0.18653,1.98742,0.90356,0.94056,0.004456,0.004456,0.004456
30,425.476,1.91296,0.86398,0.98732,0.5427,0.49653,0.48177,0.18695,1.96805,0.94258,0.95037,0.004258,0.004258,0.004258
