epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7952,2.28944,1.37647,1.11859,0.38457,0.4135,0.37056,0.11697,2.44873,1.25265,1.01636,0.00330623,0.00330623,0.0702439
2,167.737,2.17614,1.14754,1.04708,0.51801,0.49426,0.39807,0.10455,2.52817,1.08385,1.02649,0.0065081,0.0065081,0.0401124
3,216.46,2.2179,1.16314,1.05643,0.44034,0.42523,0.38828,0.11211,2.43398,1.09785,1.01833,0.00957797,0.00957797,0.00984898
4,242.074,2.21477,1.15246,1.05506,0.49511,0.43808,0.38926,0.10023,2.63044,1.05927,1.02437,0.009406,0.009406,0.009406
5,267.454,2.16757,1.02823,1.03998,0.49076,0.42879,0.34361,0.07842,2.79635,1.21242,1.0489,0.009208,0.009208,0.009208
6,292.314,2.11388,0.99216,1.0333,0.69363,0.47667,0.52427,0.18398,2.09682,1.05878,0.9808,0.00901,0.00901,0.00901
7,317.696,2.08893,0.96577,1.02242,0.52268,0.43084,0.45629,0.16561,2.08593,1.00697,0.98495,0.008812,0.008812,0.008812
8,342.919,2.06203,0.94187,1.01158,0.56163,0.53725,0.47417,0.13815,2.32979,0.99035,0.9797,0.008614,0.008614,0.008614
9,362.041,2.02787,0.92075,1.00392,0.58606,0.49547,0.49161,0.17795,2.05316,0.94075,0.96624,0.008416,0.008416,0.008416
10,388.63,2.03245,0.90697,1.0066,0.5984,0.52966,0.47972,0.12756,2.41422,1.02283,0.98372,0.008218,0.008218,0.008218
11,414.078,2.01149,0.90194,1.00408,0.59045,0.57956,0.52599,0.17406,2.13861,0.9257,0.94884,0.00802,0.00802,0.00802
12,720.437,1.99294,0.88362,0.9962,0.49379,0.42592,0.46002,0.16757,2.03349,0.95814,0.9742,0.007822,0.007822,0.007822
13,745.309,1.97885,0.86292,0.99093,0.5968,0.48481,0.4738,0.16295,2.18263,0.93922,0.96259,0.007624,0.007624,0.007624
14,770.074,1.96544,0.86004,0.99401,0.67705,0.54677,0.52936,0.17137,2.12581,0.93049,0.96401,0.007426,0.007426,0.007426
15,795.044,1.94838,0.85582,0.98955,0.63928,0.54924,0.53682,0.17115,2.22363,0.92761,0.96426,0.007228,0.007228,0.007228
16,819.776,1.94045,0.85361,0.98775,0.54936,0.49893,0.49329,0.18183,2.05326,0.92108,0.95264,0.00703,0.00703,0.00703
17,844.531,1.9406,0.838,0.97801,0.54604,0.53356,0.49382,0.18067,2.11515,0.87479,0.95517,0.006832,0.006832,0.006832
18,869.477,1.92829,0.82905,0.97508,0.50367,0.4954,0.47774,0.19252,1.9348,0.86464,0.93823,0.006634,0.006634,0.006634
19,894.395,1.91922,0.82333,0.97476,0.52151,0.4978,0.49209,0.19947,1.91591,0.84149,0.93935,0.006436,0.006436,0.006436
20,919.449,1.88271,0.80664,0.97414,0.67753,0.56458,0.55223,0.18004,2.1641,0.88781,0.95207,0.006238,0.006238,0.006238
21,944.399,1.88843,0.80848,0.97066,0.64621,0.57341,0.53665,0.19283,2.10812,0.86995,0.94811,0.00604,0.00604,0.00604
22,969.348,1.87228,0.79823,0.97033,0.64494,0.53993,0.5428,0.20608,1.9302,0.85156,0.94034,0.005842,0.005842,0.005842
23,994.41,1.88236,0.80291,0.97119,0.56711,0.47992,0.47922,0.18195,2.01522,0.88838,0.95375,0.005644,0.005644,0.005644
24,1019.42,1.86729,0.78957,0.96556,0.61853,0.5089,0.50938,0.19019,2.00558,0.85695,0.94036,0.005446,0.005446,0.005446
25,1044.4,1.85965,0.78452,0.9659,0.63829,0.58585,0.55866,0.19898,2.02606,0.83045,0.93929,0.005248,0.005248,0.005248
26,1069.44,1.83825,0.77709,0.96135,0.64332,0.60401,0.57864,0.21356,2.06689,0.84565,0.93846,0.00505,0.00505,0.00505
27,1094.46,1.85312,0.77961,0.96155,0.59553,0.59841,0.54461,0.20338,1.97918,0.83546,0.93474,0.004852,0.004852,0.004852
28,1119.54,1.83079,0.76839,0.96481,0.5823,0.61143,0.55286,0.20079,2.02507,0.87113,0.95685,0.004654,0.004654,0.004654
29,1144.5,1.83214,0.76266,0.9619,0.67377,0.58726,0.55397,0.20548,2.00717,0.8205,0.9363,0.004456,0.004456,0.004456
30,1169.42,1.82435,0.76389,0.96006,0.6623,0.56875,0.55284,0.20301,2.02137,0.83578,0.94123,0.004258,0.004258,0.004258
31,1194.47,1.82404,0.76219,0.95727,0.69239,0.58237,0.57153,0.19992,2.0556,0.82102,0.93701,0.00406,0.00406,0.00406
32,1219.42,1.81758,0.75621,0.95115,0.67759,0.63107,0.58293,0.20316,2.09085,0.83896,0.94491,0.003862,0.003862,0.003862
33,1244.46,1.80332,0.7534,0.94809,0.69812,0.58662,0.55302,0.1831,2.16649,0.84655,0.95432,0.003664,0.003664,0.003664
34,1269.44,1.80197,0.74739,0.94525,0.74504,0.57447,0.56894,0.20804,2.01108,0.80456,0.93663,0.003466,0.003466,0.003466
35,1294.4,1.77715,0.73997,0.94879,0.70721,0.59405,0.56318,0.21149,1.97572,0.79372,0.93425,0.003268,0.003268,0.003268
36,1319.51,1.76639,0.73077,0.94433,0.67855,0.58804,0.56264,0.21194,1.93607,0.79399,0.92662,0.00307,0.00307,0.00307
37,1344.49,1.77271,0.73446,0.94007,0.73696,0.61333,0.5925,0.20027,2.06918,0.79861,0.9381,0.002872,0.002872,0.002872
38,1369.49,1.75682,0.72786,0.94865,0.70064,0.60896,0.57124,0.21501,1.94101,0.80224,0.93031,0.002674,0.002674,0.002674
39,1394.68,1.75536,0.72437,0.94752,0.767,0.62642,0.60011,0.21481,1.99448,0.7974,0.93192,0.002476,0.002476,0.002476
40,1419.87,1.76274,0.72761,0.94281,0.66076,0.59716,0.57228,0.21699,1.91109,0.79764,0.92908,0.002278,0.002278,0.002278
41,1773.39,1.72304,0.71097,0.96767,0.71117,0.62358,0.59312,0.21002,2.01697,0.80534,0.93854,0.00208,0.00208,0.00208
42,1800.18,1.69965,0.70339,0.96154,0.701,0.61299,0.55707,0.20285,2.00691,0.8013,0.93933,0.001882,0.001882,0.001882
43,1824.81,1.70051,0.69702,0.95662,0.66177,0.58832,0.56737,0.21004,2.0009,0.78811,0.93407,0.001684,0.001684,0.001684
44,1849.47,1.69167,0.69357,0.95732,0.65348,0.59935,0.55788,0.20724,2.01434,0.80243,0.93644,0.001486,0.001486,0.001486
45,1873.84,1.67636,0.68627,0.95851,0.77486,0.61333,0.61334,0.21574,2.02834,0.78073,0.9329,0.001288,0.001288,0.001288
